DATE,WILL5000INDFC_NBD20071001_GDP_NBD20071001
2011-10-01,0.85499605053824884656
2012-01-01,0.93569241428584118278
2012-04-01,0.92822628267938844247
2012-07-01,0.95848333964060882746
2012-10-01,0.97123542643092061045
2013-01-01,1.0388139569724114
2013-04-01,1.1039696125006983
2013-07-01,1.1481440359139588
2013-10-01,1.2054773695976545
2014-01-01,1.2622114350190312
2014-04-01,1.2783282102636554
2014-07-01,1.3106096424484886
2014-10-01,1.3225032448887696
2015-01-01,1.3595582803500073
2015-04-01,1.3791157979056303
2015-07-01,1.3233018004223143
2015-10-01,1.3285421841202802
2016-01-01,1.2483414188275348
2016-04-01,1.3290205856922292
2016-07-01,1.3864184001208212
2016-10-01,1.4005473915311796
2017-01-01,1.4857400265923223
2017-04-01,1.5215197292107341
2017-07-01,1.5509576787415949
2017-10-01,1.6179348186073327
